Model,forecast_horizon,forecast_horizon_label,target_year,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,High_week_RMSE_raw,High_week_MAE_raw,High_week_Bias_raw,High_week_Underprediction_rate
City-week Pure LightGBM H+5 - target year 2023,5,H+5,2023,11.572182542732559,9.668952725976999,-1.3946992659410933,-0.1285690074426011,2.4952067910488043,21.456745252587265,18.96153846153846,0.10027322669407865,0.0834161038405375,-1.3430861714651607,-0.13437602798258988,NA,NA,NA,0,1,0,52,0,0,10.580258611014893,9.142051322178226,-7.241545690502283,0.8571428571428571
City-week Pure LightGBM H+5 - target year 2024,5,H+5,2024,81.05127093175491,48.9072370772936,0.23568425581465458,0.7537680394569859,-39.609033731275375,47.890966268724625,87.5,0.33605773552836943,0.23199953062356662,0.42002156538516977,0.7931573396639394,0.8571428571428571,0.6,0.7058823529411764,0.0625,0.9375,12,30,2,8,157.53614452907883,148.20237365797385,-148.20237365797385,1
City-week Pure LightGBM H+6 - target year 2023,6,H+6,2023,10.77647791650155,8.437907677268754,-1.07670168951024,-0.06821891032570712,4.596330135614593,23.557868597153053,18.96153846153846,0.09222014866659183,0.07223618659758935,-0.9818460537008029,-0.059969105619206646,NA,NA,NA,0,1,0,52,0,0,8.87369474813923,6.461569714247245,-5.274922910818455,0.7857142857142857
City-week Pure LightGBM H+6 - target year 2024,6,H+6,2024,85.46070818407317,52.060971568488526,0.1502598834011376,0.7757370628578084,-43.11483863890119,44.38516136109881,87.5,0.356322098794364,0.24962730966653712,0.3479670129631771,0.8131002210629237,1,0.2,0.33333333333333337,0,1,4,32,0,16,166.00467748886106,155.92625242235206,-155.92625242235206,1
City-week Pure LightGBM H+7 - target year 2023,7,H+7,2023,12.601197522370844,10.150230691914325,-1.8395143507794685,0.08169633057675167,1.6506878747206633,20.612226336259123,18.96153846153846,0.10721580159826376,0.08696609615439911,-1.6787727604839464,0.09466673179864832,NA,NA,NA,0,1,0,52,0,0,12.266474379926606,10.654597841734942,-6.450251688999863,0.7142857142857143
City-week Pure LightGBM H+7 - target year 2024,7,H+7,2024,88.37617366203027,52.76871214241565,0.09129370610584098,0.6902474921341475,-46.617488263761025,40.882511736238975,87.5,0.37603412234472683,0.2569893762510967,0.27382956424511806,0.7540630019789225,1,0.25,0.4,0,1,5,32,0,15,171.8102900447382,161.69466710025696,-161.69466710025696,1
City-week Pure LightGBM H+8 - target year 2023,8,H+8,2023,18.471655006891588,14.642491989794749,-5.101435816122772,-0.05998529878015765,5.877942005904161,24.839480467442623,18.96153846153846,0.15032562716281214,0.12122029210538565,-4.266042127202151,-0.07199648193283506,NA,NA,NA,0,1,0,52,0,0,17.858560120451536,15.740530221257682,-6.279743832928872,0.7142857142857143
City-week Pure LightGBM H+8 - target year 2024,8,H+8,2024,99.19191005373555,63.51655183908706,-0.14473682442567326,0.542136979984072,-53.29652368219057,34.20347631780943,87.5,0.45565301520117946,0.32791535306375985,-0.06623405397423276,0.53264447527953,NA,0,NA,0,1,0,32,0,20,189.73034269969483,182.49357219654425,-182.49357219654425,1
City-week Pure LightGBM H+9 - target year 2023,9,H+9,2023,23.22185978529512,17.876912173432764,-8.643050175812101,0.02101752352336912,12.853136730195521,31.814675191733983,18.96153846153846,0.17935347293672835,0.14210420410904673,-6.496142977424498,0.03123077729461846,NA,NA,NA,0,1,0,52,0,0,17.010388064267033,13.677728793813396,1.589432553489081,0.5
City-week Pure LightGBM H+9 - target year 2024,9,H+9,2024,101.52543063358787,67.67557570083156,-0.19923094859823576,0.31180595018476875,-49.14868127490283,38.35131872509717,87.5,0.47416336166131057,0.35734514421996805,-0.15462255949767,0.2788601458247555,NA,0,NA,0,1,0,32,0,20,192.63924744724434,185.35274065019746,-185.35274065019746,1
City-week Pure LightGBM H+10 - target year 2023,10,H+10,2023,33.02037623079792,25.698204615677327,-18.497748500972097,-0.0871610707519565,25.296579847547946,44.258118309086406,18.96153846153846,0.2437843730680538,0.19492097565129737,-12.849369640368076,-0.06580475420365946,0,NA,NA,0.038461538461538464,0.9615384615384616,0,50,2,0,25.74156646640099,18.59923084640828,17.10748170764201,0.21428571428571427
City-week Pure LightGBM H+10 - target year 2024,10,H+10,2024,99.9754108523306,69.74233971043063,-0.16289242719911523,0.2182681006343007,-42.22228383800203,45.27771616199797,87.5,0.46338614454121435,0.3692754710084038,-0.10273241334390115,0.1811961424972315,NA,0,NA,0,1,0,32,0,20,187.46543250099947,179.3176984812985,-179.3176984812985,1
City-week Pure LightGBM H+11 - target year 2023,11,H+11,2023,21.92917379422446,18.001586026825198,-7.599336994126798,0.19496987981452238,17.309216827986155,36.270755289524615,18.96153846153846,0.17155998515281856,0.1431675747231747,-5.858833812973932,0.20445155523098432,NA,NA,NA,0,1,0,52,0,0,20.15266324934014,15.550360113276652,13.362338166202868,0.2857142857142857
City-week Pure LightGBM H+11 - target year 2024,11,H+11,2024,103.32360186968437,66.0578323536287,-0.24208758778653627,0.40338473085366905,-52.73515145597923,34.76484854402077,87.5,0.4749332876066632,0.3421754305437291,-0.15837525604163805,0.42003928461000783,NA,0,NA,0,1,0,32,0,20,196.9780775638491,187.7843282299968,-187.7843282299968,1
City-week Pure LightGBM H+12 - target year 2023,12,H+12,2023,25.405684748043463,20.31896160230715,-10.54203107270509,0.15845248022821598,19.75216419902424,38.7137026605627,18.96153846153846,0.19374397193584847,0.15908475723257182,-7.747313225598321,0.1435267757271389,NA,NA,NA,0,1,0,52,0,0,26.45602674037511,20.33143867019393,18.226191172285965,0.14285714285714285
City-week Pure LightGBM H+12 - target year 2024,12,H+12,2024,98.36961121466373,67.3261481152067,-0.12583580684531737,0.39693091524271473,-41.245343352984065,46.25465664701593,87.5,0.44520334366657205,0.3522957933243966,-0.017890091951856313,0.38661294181355377,NA,0,NA,0,1,0,32,0,20,186.61323115851746,177.4624564153336,-177.4624564153336,1
