Model,forecast_horizon,forecast_horizon_label,target_year,RMSE_raw,MAE_raw,R2_raw,Correlation_raw,Bias_raw,Mean_pred_raw,Mean_actual_raw,RMSE_log_incidence,MAE_log_incidence,R2_log_incidence,Correlation_log_incidence,Precision,Recall,Outbreak_F1_count_threshold,False_alarm_rate,Specificity,TP,TN,FP,FN,High_week_RMSE_raw,High_week_MAE_raw,High_week_Bias_raw,High_week_Underprediction_rate
City-week environmental-only LightGBM H+5 - target year 2023,5,H+5,2023,18.793974523489258,16.87314710238384,-5.316226526766255,0.16332156170920042,16.87314710238384,35.8346855639223,18.96153846153846,0.15482745517921337,0.13807098456307232,-4.586171070396291,0.15885080901840457,NA,NA,NA,0,1,0,52,0,0,10.365213977895232,8.45464407148154,8.45464407148154,0
City-week environmental-only LightGBM H+5 - target year 2024,5,H+5,2024,108.44134733127133,68.09674973293171,-0.3681791157515515,0.052651577706427866,-56.38394183161231,31.116058168387685,87.5,0.5107383104256653,0.3574944031879398,-0.33961784183092636,0.10843829768660941,NA,0,NA,0,1,0,32,0,20,207.8808806846573,199.2992968953599,-199.2992968953599,1
City-week environmental-only LightGBM H+6 - target year 2023,6,H+6,2023,21.447935069840717,18.173214524273032,-7.226051082766709,0.16728013193596616,18.173214524273032,37.134752985811495,18.96153846153846,0.16907385836261057,0.14611358320503381,-5.661487349254274,0.18819728025237345,NA,NA,NA,0,1,0,52,0,0,10.435285675838939,9.370199573408328,9.370199573408328,0
City-week environmental-only LightGBM H+6 - target year 2024,6,H+6,2024,105.50278824374601,67.03564304426718,-0.29503355703469825,0.40155454678945846,-54.4658301916445,33.0341698083555,87.5,0.49204195399149525,0.35028887198045366,-0.24333546355370061,0.3759146848420061,NA,0,NA,0,1,0,32,0,20,201.31733778939298,192.90510745211273,-192.90510745211273,1
City-week environmental-only LightGBM H+7 - target year 2023,7,H+7,2023,22.10948066083268,18.01807063625195,-7.741329929423916,0.17452164649125054,17.984678830718483,36.94621729225695,18.96153846153846,0.1706671398886566,0.14408047667680213,-5.78762907239534,0.19155948153717306,0,NA,NA,0.038461538461538464,0.9615384615384616,0,50,2,0,17.904906374927513,10.8478734271108,10.723846720843646,0.07142857142857142
City-week environmental-only LightGBM H+7 - target year 2024,7,H+7,2024,105.22494530710121,67.04112282754308,-0.2882215638616439,0.3884487460280738,-53.89383886436595,33.60616113563405,87.5,0.4900141342942766,0.3504448318848895,-0.2331084299758739,0.36642634770069604,NA,0,NA,0,1,0,32,0,20,200.66905025323788,192.0372577264611,-192.0372577264611,1
City-week environmental-only LightGBM H+8 - target year 2023,8,H+8,2023,20.47879038849895,17.549654158945643,-6.499443390858609,0.17815517374400797,17.530275406413033,36.49181386795149,18.96153846153846,0.16358698898523838,0.1418046701457337,-5.236139157400738,0.19176146446335668,NA,NA,NA,0,1,0,52,0,0,13.316459744881776,9.719502557078556,9.647524333386013,0.07142857142857142
City-week environmental-only LightGBM H+8 - target year 2024,8,H+8,2024,107.55967010181993,67.94838982974872,-0.34602172744376003,0.2949124338944589,-56.26558846515312,31.234411534846878,87.5,0.5054084181120775,0.3566440522044694,-0.31180413260979667,0.2842612510355783,NA,0,NA,0,1,0,32,0,20,205.23835446673155,196.45069881822343,-196.45069881822343,1
City-week environmental-only LightGBM H+9 - target year 2023,9,H+9,2023,17.43034305703864,15.901595174500418,-4.432907355029318,0.3037845003467026,15.896486621890563,34.85802508342903,18.96153846153846,0.14513898642122428,0.13114575564515996,-3.908925622480635,0.31194357269410317,NA,NA,NA,0,1,0,52,0,0,8.700962249592008,7.8902751626091945,7.87130053862974,0.07142857142857142
City-week environmental-only LightGBM H+9 - target year 2024,9,H+9,2024,108.92669547609992,70.31901815503433,-0.38045357069912233,-0.4785982564407673,-54.658228561618685,32.841771438381315,87.5,0.5168690083783516,0.37455537994883287,-0.37197133372832103,-0.5394970166709383,NA,0,NA,0,1,0,32,0,20,207.65221865036608,199.27710987994837,-199.27710987994837,1
City-week environmental-only LightGBM H+10 - target year 2023,10,H+10,2023,20.763991622094697,19.34786760973821,-6.709782379803589,0.22816410654542518,19.34684131748576,38.30837977902422,18.96153846153846,0.16968946297348708,0.15695847703319332,-5.71008513997016,0.24250132709174763,NA,NA,NA,0,1,0,52,0,0,11.482889335291715,10.551613910963832,10.547801968311887,0.07142857142857142
City-week environmental-only LightGBM H+10 - target year 2024,10,H+10,2024,106.59049695974109,68.49712773073831,-0.32187418516197397,0.07127570885547216,-52.75584565808498,34.74415434191502,87.5,0.49814463975534956,0.36059084636543526,-0.27436834500187435,0.02159202257771621,NA,0,NA,0,1,0,32,0,20,203.64093955227796,195.24872884479555,-195.24872884479555,1
City-week environmental-only LightGBM H+11 - target year 2023,11,H+11,2023,20.614799934381104,18.837715003591363,-6.59938904325482,-0.013159612169243409,18.777468494672053,37.73900695621052,18.96153846153846,0.16880260949062553,0.15310767999600589,-5.6401301565407485,-0.013664899501161313,NA,NA,NA,0,1,0,52,0,0,11.553179805645536,9.80415984329202,9.580387095877432,0.07142857142857142
City-week environmental-only LightGBM H+11 - target year 2024,11,H+11,2024,106.02229827664324,69.37619437808625,-0.3078187994764374,-0.1923082859000023,-50.73049646351195,36.76950353648805,87.5,0.4950711441396895,0.3671367971372969,-0.25869144230658114,-0.27514716582960175,NA,0,NA,0,1,0,32,0,20,202.19084932883038,193.67807307319038,-193.67807307319038,1
City-week environmental-only LightGBM H+12 - target year 2023,12,H+12,2023,16.667121388498593,14.618805848152327,-3.967542901784734,-0.18259138325106666,14.376835390723377,33.33837385226184,18.96153846153846,0.13970182887256855,0.12132994749963093,-3.5480210222146296,-0.18421941560826766,NA,NA,NA,0,1,0,52,0,0,6.899505206752003,5.6890427798024295,4.7902953664949015,0.21428571428571427
City-week environmental-only LightGBM H+12 - target year 2024,12,H+12,2024,107.81489802100292,72.64441661079613,-0.3524172457539616,-0.5095222595309876,-49.243378904038586,38.256621095961414,87.5,0.5118304238170822,0.39113728036959783,-0.3453529854023871,-0.5833357584314174,NA,0,NA,0,1,0,32,0,20,204.18199443124234,195.43914213103625,-195.43914213103625,1
