Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
barangayCOGON PARDO,0.0012751375260306006,0.006371469483809225,0.0029846057178762172,H+0,0,XGBoost classifier
barangayPULANGBATO,0.001135144967794274,0.00297213479727857,0.0026704366949418788,H+0,0,XGBoost classifier
target_log_incidence_lag2,9.923688700737884e-4,0.001486338008123793,0.0029846057178762172,H+0,0,XGBoost classifier
barangayKINASANG-AN PARDO,9.842046607597885e-4,0.007397615510908305,0.002827521206409048,H+0,0,XGBoost classifier
barangaySAWANG CALERO (POB.),9.391743443194663e-4,0.005043665387471071,0.00235626767200754,H+0,0,XGBoost classifier
barangaySAN NICOLAS CENTRAL,8.998689731877988e-4,0.005521446556809232,0.0026704366949418788,H+0,0,XGBoost classifier
percent_open_forest,8.789917663436851e-4,7.512398677104091e-4,0.0025133521834747093,H+0,0,XGBoost classifier
barangayMALUBOG,8.377767586832928e-4,0.005661734881009666,0.00235626767200754,H+0,0,XGBoost classifier
percent_fishpond,7.93189472279551e-4,1.753459408096435e-4,0.0020420986490732014,H+0,0,XGBoost classifier
barangayHIPPODROMO,7.646664074308908e-4,0.004775203223477135,0.002199183160540371,H+0,0,XGBoost classifier
barangayCARRETA,7.182071891823885e-4,0.005372348009897983,0.0020420986490732014,H+0,0,XGBoost classifier
percent_open_barren,7.135748428056665e-4,0.0055281501360646985,0.00235626767200754,H+0,0,XGBoost classifier
barangayBANILAD,6.944869786913214e-4,0.0019368053889785677,0.0017279296261388628,H+0,0,XGBoost classifier
barangayCALAMBA,6.568094280042624e-4,0.004676315153149456,0.0020420986490732014,H+0,0,XGBoost classifier
barangayTO-ONG PARDO,6.538301413056904e-4,0.0015179192482327282,0.0015708451146716933,H+0,0,XGBoost classifier
barangayLUZ,5.998756635508588e-4,0.004850437798325092,0.0020420986490732014,H+0,0,XGBoost classifier
barangayKAMAGAYAN (POB.),5.849025433117584e-4,0.004855983580039247,0.0020420986490732014,H+0,0,XGBoost classifier
