"forecast_horizon_label","model_part","grid_id","eta","max_depth","min_child_weight","subsample","colsample_bytree","lambda","alpha","best_nrounds","validation_RMSE_raw","validation_MAE_raw","validation_R2_raw","validation_Correlation_raw"
"H+2","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.321762015271,0.778140621367886,-0.312641579724738,0.301240796861139
"H+2","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.32230595851321,0.765226917451014,-0.313722181867657,0.288519991695696
"H+2","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.32276269962306,0.780899491739468,-0.314629890938515,0.296560740925749
"H+2","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.32570120246804,0.768488218550687,-0.320477250454047,0.27978033657642
"H+2","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.34351184027264,0.784462755889411,-0.356196500612297,0.281879828965874
"H+3","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.29574094346222,0.753614643866755,-0.25834076111254,0.3010165297846
"H+3","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.296808706491,0.749292277107964,-0.260415501983999,0.302662260740217
"H+3","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.29740557423997,0.7490323281662,-0.261576003893605,0.297533434290721
"H+3","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.30122409310226,0.752291721513275,-0.269013063003001,0.300178543302253
"H+3","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.30254245945434,0.745964833112587,-0.271585827623201,0.286128686323674
"H+3","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.31687732119893,0.761922862301727,-0.299728187488362,0.294202930878304
"H+4","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.26044917540609,0.723445336760066,-0.188205492597766,0.3161048970028
"H+4","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.26378004014344,0.719442390028917,-0.194493697205313,0.308062383231953
"H+4","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.26465228908499,0.724682263104186,-0.19614312255351,0.308928053621208
"H+4","regressor",2,0.03,4,5,0.85,0.85,1,0.05,500,1.2778925590674,0.733861138865233,-0.221320259476415,0.30242198331051
"H+4","regressor",1,0.03,3,3,0.85,0.85,1,0.05,500,1.28841708721554,0.743651281008015,-0.241520315271568,0.304487690667066
"H+4","regressor",4,0.05,3,5,0.85,0.85,1,0.05,500,1.29247416273293,0.737980161901359,-0.249351431603643,0.283006325072987
"H+5","regressor",6,0.03,5,8,0.8,0.8,2,0.2,500,1.23321263732384,0.698672661005945,-0.13325448402717,0.327094575833047
"H+5","regressor",3,0.02,4,5,0.9,0.8,1.5,0.1,500,1.23404922263042,0.711430873271541,-0.134792557177774,0.332737419361853
"H+5","regressor",5,0.05,4,8,0.8,0.8,2,0.1,500,1.23587559051786,0.703377752775141,-0.138153982820074,0.324806779897967
