Feature,Gain,Cover,Frequency,Horizon,Horizon_number,Component
pop_density,0.05491317621231834,0.030808209609041612,0.03588631984585742,H+4,4,XGBoost regressor
u_component_of_wind_10m_rollmean_lag1_w8,0.03744613025544081,0.017933141804746845,0.019990366088631986,H+4,4,XGBoost regressor
percent_built_up,0.025411048804011953,0.02015383194765147,0.013728323699421965,H+4,4,XGBoost regressor
v_component_of_wind_10m_rollmean_lag1_w8,0.02048224699063483,0.018053723740856672,0.01565510597302505,H+4,4,XGBoost regressor
rh_rollmean_lag1_w8,0.019109691343932558,0.03263591296922538,0.030828516377649325,H+4,4,XGBoost regressor
barangayPARDO (POB.),0.01776301151064431,0.01677041173129645,0.010356454720616571,H+4,4,XGBoost regressor
week_cos,0.016897815562947772,0.017292148766627106,0.02119460500963391,H+4,4,XGBoost regressor
city_incidence_mean_lag2,0.015761803289558046,0.02406712915362705,0.026493256262042388,H+4,4,XGBoost regressor
temp_c_lag10,0.014692288419034314,0.0170029464011025,0.023121387283236993,H+4,4,XGBoost regressor
rainfall_rollmean_lag1_w4,0.014412899948873173,0.021851849102293153,0.025048169556840076,H+4,4,XGBoost regressor
city_cases_lag2,0.01351533579617231,0.01032557456005621,0.015414258188824663,H+4,4,XGBoost regressor
temp_c_lag11,0.013245291369744012,0.018439811415978162,0.02432562620423892,H+4,4,XGBoost regressor
rh_lag19,0.013240645911212618,0.020281071912575076,0.020953757225433526,H+4,4,XGBoost regressor
rh_rollmean_lag1_w4,0.01238314551792816,0.016599621592811364,0.018063583815028903,H+4,4,XGBoost regressor
temp_c_rollmean_lag1_w8,0.012066986360619338,0.016517612262395853,0.020953757225433526,H+4,4,XGBoost regressor
week_sin,0.01156570419641275,0.02161807358579657,0.016618497109826588,H+4,4,XGBoost regressor
neighbor_cases_mean_lag2,0.011436086840601932,0.004771381690518612,0.01083815028901734,H+4,4,XGBoost regressor
target_log_incidence_lag2,0.01112014097124788,0.008788995105129246,0.006262042389210019,H+4,4,XGBoost regressor
u_component_of_wind_10m_rollmean_lag1_w4,0.010916625979942517,0.015476258266937222,0.016618497109826588,H+4,4,XGBoost regressor
barangayBANILAD,0.010865411870011468,0.015427666710535914,0.008670520231213872,H+4,4,XGBoost regressor
neighbor_incidence_mean_lag1,0.010829796687937437,0.017323077756707727,0.023603082851637765,H+4,4,XGBoost regressor
v_component_of_wind_10m_lag7,0.01029215166190328,0.02288872895911334,0.020712909441233142,H+4,4,XGBoost regressor
rainfall_rollmean_lag1_w8,0.009024815729064566,0.023281084682660158,0.024084778420038536,H+4,4,XGBoost regressor
rh_lag20,0.008863770822819184,0.025449460729091877,0.02336223506743738,H+4,4,XGBoost regressor
target_log_incidence_lag1,0.008565211437514523,0.008416507109736007,0.0072254335260115606,H+4,4,XGBoost regressor
barangay_area_m2,0.008028778168322308,0.017764528465884583,0.02023121387283237,H+4,4,XGBoost regressor
wind_speed_10m_rollmean_lag1_w4,0.007740248785813821,0.021833371122432974,0.019990366088631986,H+4,4,XGBoost regressor
neighbor_incidence_mean_lag2,0.007482668032434861,0.02076973152041236,0.024807321772639692,H+4,4,XGBoost regressor
rainfall_lag19,0.006791594745836884,0.011205717753480676,0.018304431599229287,H+4,4,XGBoost regressor
neighbor_cases_mean_lag1,0.0066003027950165,0.00413374957429209,0.00674373795761079,H+4,4,XGBoost regressor
flood_risk_index,0.006473406227859495,0.01520443484563261,0.01348747591522158,H+4,4,XGBoost regressor
v_component_of_wind_10m_lag5,0.006066759851057535,0.020949278491256353,0.0197495183044316,H+4,4,XGBoost regressor
wind_speed_10m_rollmean_lag1_w8,0.006012874563407204,0.009716021031798342,0.014210019267822735,H+4,4,XGBoost regressor
u_component_of_wind_10m_lag5,0.0052856688909767415,0.02059514084577798,0.01758188824662813,H+4,4,XGBoost regressor
temp_c_rollmean_lag1_w4,0.005235048549710989,0.008187588621713798,0.011078998073217727,H+4,4,XGBoost regressor
u_component_of_wind_10m_lag4,0.0047184588730581145,0.0070709329585210545,0.01300578034682081,H+4,4,XGBoost regressor
barangayCENTRAL (POB.),0.004557545611576026,0.0016495886809482733,0.0052986512524084775,H+4,4,XGBoost regressor
wind_speed_10m_lag10,0.004522741783132142,0.010542517104876638,0.014691714836223507,H+4,4,XGBoost regressor
wind_speed_10m_lag11,0.0042669778837415365,0.013187130111135264,0.014450867052023121,H+4,4,XGBoost regressor
rainfall_lag20,0.0042319978778844625,0.01205998752076938,0.015414258188824663,H+4,4,XGBoost regressor
percent_perennial_crop,0.004167415378964058,0.01434301780140643,0.009152215799614644,H+4,4,XGBoost regressor
barangaySAN NICOLAS CENTRAL,0.004145331090987779,0.014577587459784956,0.007466281310211946,H+4,4,XGBoost regressor
barangayMABOLO,0.0037312180732196995,0.007901399741009061,0.004335260115606936,H+4,4,XGBoost regressor
barangayKALUBIHAN (POB.),0.0035546660388780515,0.005382310785964844,0.0072254335260115606,H+4,4,XGBoost regressor
barangaySAMBAG II (POB.),0.0035112041257646556,0.0136282050210287,0.0072254335260115606,H+4,4,XGBoost regressor
v_component_of_wind_10m_rollmean_lag1_w4,0.0035051262003282296,0.00963631613095096,0.009152215799614644,H+4,4,XGBoost regressor
barangaySIRAO,0.0032805257805710404,0.006463357694415523,0.00674373795761079,H+4,4,XGBoost regressor
barangayPARI-AN,0.003246359862805072,0.0019984084120386434,0.005780346820809248,H+4,4,XGBoost regressor
percent_inland_water,0.003103215714587938,0.0034288068430184926,0.0038535645472061657,H+4,4,XGBoost regressor
percent_mangrove_forest,0.0029022484596214386,0.00938405554404168,0.004576107899807322,H+4,4,XGBoost regressor
percent_annual_crop,0.0027531275610233473,0.0014097720137069172,0.004335260115606936,H+4,4,XGBoost regressor
dengue_cases_lag2,0.0017919826987061287,0.0014207410984512369,0.0038535645472061657,H+4,4,XGBoost regressor
barangayT. PADILLA,0.0016346712106031264,0.007994094534068201,0.0050578034682080926,H+4,4,XGBoost regressor
barangayPAHINA SAN NICOLAS,0.0014568715784491137,0.005732867702421962,0.002890173410404624,H+4,4,XGBoost regressor
dengue_cases_lag1,0.0011292420410341703,0.006183883566944703,0.0038535645472061657,H+4,4,XGBoost regressor
percent_brush_shrubs,9.552629391359327e-4,0.005105148178614676,0.0038535645472061657,H+4,4,XGBoost regressor
barangayLUSARAN,9.451650631123929e-4,0.007217530131816988,0.0038535645472061657,H+4,4,XGBoost regressor
barangayLABANGON,9.322132887819458e-4,0.007687633763716399,0.003371868978805395,H+4,4,XGBoost regressor
barangayGUBA,9.254154188388463e-4,0.0010356744628922422,0.002167630057803468,H+4,4,XGBoost regressor
barangaySAMBAG I (POB.),8.729738289153412e-4,0.006916564539666122,0.0038535645472061657,H+4,4,XGBoost regressor
barangay_area_km2,8.532034808659651e-4,0.004367588905761331,0.003371868978805395,H+4,4,XGBoost regressor
barangayCOGON RAMOS (POB.),8.520676053156232e-4,0.0024129788366222754,0.0024084778420038534,H+4,4,XGBoost regressor
barangayADLAON,8.212075531892922e-4,0.006435158567054075,0.003371868978805395,H+4,4,XGBoost regressor
barangayCARRETA,7.584592916161936e-4,0.0070570851094546964,0.0031310211946050095,H+4,4,XGBoost regressor
barangay_classificationUrban,7.206701154207499e-4,5.986766206962748e-4,9.633911368015414e-4,H+4,4,XGBoost regressor
percent_open_forest,7.114113282742229e-4,0.0024144962148609857,0.0019267822736030828,H+4,4,XGBoost regressor
barangaySANTA CRUZ (POB.),6.602927779877444e-4,0.004363582743589036,0.002890173410404624,H+4,4,XGBoost regressor
barangayPAMUTAN,6.55651372318127e-4,0.0048359978956091,0.002890173410404624,H+4,4,XGBoost regressor
barangayZAPATERA,6.493189955235704e-4,0.00559835283061557,0.0026493256262042388,H+4,4,XGBoost regressor
barangayPUNG-OL-SIBUGAY,5.421478531287649e-4,4.435282410644343e-4,0.0016859344894026974,H+4,4,XGBoost regressor
barangayCOGON PARDO,5.290651176502645e-4,0.004428128043154351,0.002167630057803468,H+4,4,XGBoost regressor
barangayLUZ,4.891606894143575e-4,0.005493100669048227,0.002890173410404624,H+4,4,XGBoost regressor
barangayTO-ONG PARDO,4.7244771286500506e-4,7.283415545808079e-5,7.22543352601156e-4,H+4,4,XGBoost regressor
percent_open_barren,4.424250405775878e-4,0.0049673716526503105,0.002167630057803468,H+4,4,XGBoost regressor
percent_grassland,4.197804810827548e-4,9.627764924615054e-4,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayCALAMBA,4.119078703236023e-4,1.4390985389186212e-4,0.001445086705202312,H+4,4,XGBoost regressor
barangaySAN ROQUE (CIUDAD),4.062813750936464e-4,7.461601130568746e-4,0.0016859344894026974,H+4,4,XGBoost regressor
barangaySUDLON I,3.8015394244176633e-4,3.241800610926259e-5,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayPASIL,3.509204795336973e-4,0.004422179069592305,0.002167630057803468,H+4,4,XGBoost regressor
barangayCAPITOL SITE (POB.),3.0068904209481714e-4,0.0049984424537812796,0.002167630057803468,H+4,4,XGBoost regressor
barangayTALAMBAN,2.9431806545405023e-4,2.848771284890296e-4,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayCAMBINOCOT,2.7837999119367335e-4,5.079671823419887e-5,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayMALUBOG,2.648169671796575e-4,0.002527023283311116,0.001445086705202312,H+4,4,XGBoost regressor
barangaySAN ANTONIO (POB.),2.620672713671372e-4,3.6998503035461986e-5,7.22543352601156e-4,H+4,4,XGBoost regressor
barangayBASAK PARDO,2.4005720447402122e-4,7.317095670265427e-4,7.22543352601156e-4,H+4,4,XGBoost regressor
barangayHIPPODROMO,2.3970797474587898e-4,0.003298922102005922,0.001445086705202312,H+4,4,XGBoost regressor
barangayLAHUG (POB.),2.1245702044763083e-4,7.319222836020628e-4,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayKINASANG-AN PARDO,2.1190866336610995e-4,0.0022156345789597653,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayBUDLA-AN (POB.),2.07914787817423e-4,5.629756887714854e-4,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayKAMAGAYAN (POB.),2.075476131892399e-4,0.0015033885785933113,9.633911368015414e-4,H+4,4,XGBoost regressor
barangaySAWANG CALERO (POB.),2.0651357189477627e-4,0.002384836433680967,0.0012042389210019267,H+4,4,XGBoost regressor
barangayPAHINA CENTRAL (POB.),1.777140337600764e-4,6.0858212256299396e-5,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayDAY-AS,1.7656783073664986e-4,0.0017439497538489876,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayBABAG,1.7407348963096957e-4,2.4654560158030833e-4,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayTEJERO (VILLA GONZALO),1.7167664914884468e-4,0.0022073811758295857,9.633911368015414e-4,H+4,4,XGBoost regressor
barangayBINALIW,1.6782373262109096e-4,4.289075217736864e-5,7.22543352601156e-4,H+4,4,XGBoost regressor
barangayBUSAY (POB.),1.3980100113210567e-4,1.3664912811410952e-4,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayLOREGA (LOREGA SAN MIGUEL),1.329301796770032e-4,0.0016089101811563135,7.22543352601156e-4,H+4,4,XGBoost regressor
barangayKASAMBAGAN,1.2874878602659668e-4,1.2482917706770953e-4,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayTAPTAP,1.1580063729840281e-4,0.0014131471167051694,7.22543352601156e-4,H+4,4,XGBoost regressor
barangayPUNTA PRINCESA,1.0034460944130055e-4,0.0016337909299396474,7.22543352601156e-4,H+4,4,XGBoost regressor
barangayAPAS,9.620462334255296e-5,6.615698215250498e-4,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayMABINI,9.274347938419483e-5,2.1469483967243263e-4,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayBULACAO,8.39646755878086e-5,0.0015814768334667386,7.22543352601156e-4,H+4,4,XGBoost regressor
barangaySINSIN,6.670442841686976e-5,1.7705109635789302e-5,2.4084778420038535e-4,H+4,4,XGBoost regressor
barangayBONBON,5.485736410628539e-5,7.601072298584755e-6,2.4084778420038535e-4,H+4,4,XGBoost regressor
barangayTABUNAN,5.29370705869804e-5,7.686158928792793e-6,2.4084778420038535e-4,H+4,4,XGBoost regressor
barangayAGSUNGOT,3.714074577765761e-5,5.562538449850504e-4,2.4084778420038535e-4,H+4,4,XGBoost regressor
barangayKALUNASAN,3.635658721626303e-5,5.546939234312363e-4,2.4084778420038535e-4,H+4,4,XGBoost regressor
barangayERMITA (POB.),3.083600351879323e-5,2.1697090703049766e-6,4.816955684007707e-4,H+4,4,XGBoost regressor
barangayPARIL,2.571153823045679e-5,5.558213212814929e-4,2.4084778420038535e-4,H+4,4,XGBoost regressor
barangayDULJO (POB.),2.4271823172773413e-5,6.601304393640304e-6,2.4084778420038535e-4,H+4,4,XGBoost regressor
city_incidence_mean_lag1,0.18859266902954275,0.030358038101905755,0.033707865168539325,H+5,5,XGBoost regressor
dengue_incidence_10000_lag2,0.07964652245285428,0.03632581097381022,0.029386343993085567,H+5,5,XGBoost regressor
dengue_incidence_10000_lag1,0.07656326193330935,0.03836842015049858,0.03140305387496399,H+5,5,XGBoost regressor
pop_density,0.062240660200278485,0.027553087221570752,0.033419763756842406,H+5,5,XGBoost regressor
city_cases_lag1,0.046260737211309716,0.013612795971332652,0.02564102564102564,H+5,5,XGBoost regressor
u_component_of_wind_10m_rollmean_lag1_w8,0.038495695131723094,0.019148549459347113,0.02045520023048113,H+5,5,XGBoost regressor
target_log_incidence_lag1,0.03283444812388668,0.00948674258343873,0.00749063670411985,H+5,5,XGBoost regressor
v_component_of_wind_10m_rollmean_lag1_w8,0.031875733595655244,0.0200114760879334,0.01959089599539038,H+5,5,XGBoost regressor
neighbor_cases_mean_lag1,0.02529400938129478,0.004963290450066687,0.008354940939210602,H+5,5,XGBoost regressor
week_cos,0.021823273012682158,0.028735783581991668,0.027081532699510226,H+5,5,XGBoost regressor
rainfall_rollmean_lag1_w4,0.02164103708199467,0.03660253837196456,0.03486027081532699,H+5,5,XGBoost regressor
