"Feature","Gain","Cover","Frequency","forecast_horizon_label","model_part"
"barangayT. PADILLA",0.0019519898381892,0.00961834897030331,0.00454733360892931,"H+0","regressor"
"v_component_of_wind_10m_lag9",0.0018916058493834,0.00327062791624994,0.0066143034311699,"H+0","regressor"
"wind_speed_10m_lag14",0.00179383317444138,0.00515270354500396,0.0066143034311699,"H+0","regressor"
"barangayBASAK PARDO",0.00175695562397261,0.000552806493580663,0.0015157778696431,"H+0","regressor"
"v_component_of_wind_10m_rollmean_lag1_w8",0.00159802460815067,0.000678717560149511,0.00427173763263056,"H+0","regressor"
"u_component_of_wind_10m_lag9",0.00156379610135779,0.00122195836133159,0.0050985255615268,"H+0","regressor"
"neighbor_env_rainfall_mean_lag4",0.00155627307051241,0.00186687915338517,0.00578751550227367,"H+0","regressor"
"neighbor_env_temp_c_mean_rollmean_lag1_w4",0.00154113012689775,0.000636797497436228,0.00427173763263056,"H+0","regressor"
"u_component_of_wind_10m_lag8",0.00152448806298701,0.000329433997015154,0.00620090946672179,"H+0","regressor"
"neighbor_env_wind_speed_10m_mean_rollmean_lag1_w4",0.00150895794333529,0.000259275527530283,0.00440953562077994,"H+0","regressor"
"neighbor_env_wind_speed_10m_mean_lag14",0.00132274042376637,0.000942459089178186,0.00399614165633182,"H+0","regressor"
"percent_open_forest",0.00131020159945091,0.002045374370029,0.00248036378668871,"H+0","regressor"
"neighbor_env_wind_speed_10m_mean_lag15",0.00129949350942148,0.000696937639235518,0.00468513159707868,"H+0","regressor"
"barangaySAMBAG I (POB.)",0.00083081419120998,0.0099482295674683,0.00289375775113683,"H+0","regressor"
"barangayPAHINA SAN NICOLAS",0.000738293008865049,0.00369047430305889,0.00110238390519498,"H+0","regressor"
"barangayADLAON",0.000722097111709096,0.00065768510714695,0.00192917183409122,"H+0","regressor"
"neighbor_env_wind_speed_10m_mean_rollmean_lag1_w8",0.000703873331706008,0.000110449045164957,0.00289375775113683,"H+0","regressor"
"wind_speed_10m_rollmean_lag1_w8",0.000697529455855409,0.000568401288002074,0.00289375775113683,"H+0","regressor"
"barangayTO-ONG PARDO",0.000659308393988298,0.000249015794358302,0.00165357585779248,"H+0","regressor"
"barangayPAMUTAN",0.000377264981076952,0.00498046073045788,0.00137797988149373,"H+0","regressor"
"barangayGUADALUPE",0.000365588928976218,0.000651179229288482,0.000551191952597492,"H+0","regressor"
"barangayCOGON PARDO",0.000360911870581248,0.00467207729185676,0.0015157778696431,"H+0","regressor"
"percent_fishpond",0.000358363027606594,0.000370780721698238,0.000688989940746865,"H+0","regressor"
"barangayCARRETA",0.000341623818028067,0.00492764724517081,0.00137797988149373,"H+0","regressor"
"barangaySANTA CRUZ (POB.)",0.000313773254005489,0.00302482281486076,0.0015157778696431,"H+0","regressor"
"percent_grassland",0.000303528232318743,0.000435501532601959,0.000826787928896238,"H+0","regressor"
"barangayTAPTAP",0.000295067701821867,6.44613000058414e-05,0.000551191952597492,"H+0","regressor"
"barangayLUSARAN",0.000278743163581395,0.000710927087172372,0.000826787928896238,"H+0","regressor"
"barangaySAN JOSE",0.000234110004109652,0.000109507563767999,0.000413393964448119,"H+0","regressor"
"barangayTALAMBAN",0.000230064985979081,0.000205442104063182,0.000275595976298746,"H+0","regressor"
"barangayZAPATERA",0.000215664371534014,0.00202538599575511,0.000964585917045611,"H+0","regressor"
"barangayMAMBALING",0.000206476303504288,0.000165767112373415,0.000413393964448119,"H+0","regressor"
"barangaySAWANG CALERO (POB.)",0.000196217545156373,0.0015106431122425,0.00124018189334436,"H+0","regressor"
"percent_open_barren",0.000173154295465975,0.0016076760475008,0.000688989940746865,"H+0","regressor"
"barangayKAMAGAYAN (POB.)",0.000170576495609576,3.14068537805822e-05,0.000413393964448119,"H+0","regressor"
"barangayCAPITOL SITE (POB.)",0.000160007354655205,0.00199222291706097,0.000826787928896238,"H+0","regressor"
"barangayCOGON RAMOS (POB.)",0.000139013032955517,3.43520007146568e-05,0.000688989940746865,"H+0","regressor"
"barangayBUSAY (POB.)",0.000123110001415697,0.000340375700686214,0.000551191952597492,"H+0","regressor"
"barangaySUBA POB. (SUBA SAN NICOLAS)",0.000120737548159787,0.00196524585395582,0.000551191952597492,"H+0","regressor"
"barangayGUBA",0.000109765604342612,2.97532261987453e-06,0.000137797988149373,"H+0","regressor"
"barangayBULACAO",8.65929229146747e-05,0.00146245254201999,0.000413393964448119,"H+0","regressor"
"barangayPAHINA CENTRAL (POB.)",8.52185205126921e-05,1.22815041205774e-05,0.000551191952597492,"H+0","regressor"
"barangayPARIL",8.49019289353878e-05,2.03444473663226e-05,0.000413393964448119,"H+0","regressor"
"barangayPUNG-OL-SIBUGAY",6.71241838151361e-05,5.30126448133425e-05,0.000275595976298746,"H+0","regressor"
"barangayBINALIW",6.59233413796971e-05,1.89442955452051e-05,0.000551191952597492,"H+0","regressor"
"barangayCAMBINOCOT",5.94381042963352e-05,1.99400931766033e-05,0.000275595976298746,"H+0","regressor"
"barangayKALUNASAN",5.73069657145216e-05,0.000950238380977412,0.000275595976298746,"H+0","regressor"
"barangayBABAG",5.59141067345918e-05,9.78899247350199e-06,0.000137797988149373,"H+0","regressor"
"barangayLUZ",4.97461205882703e-05,0.000507868862287386,0.000275595976298746,"H+0","regressor"
"barangayPASIL",4.93119596753491e-05,3.39778222107375e-06,0.000137797988149373,"H+0","regressor"
"barangayDAY-AS",3.75664687524035e-05,1.01269601544614e-05,0.000275595976298746,"H+0","regressor"
"barangayKASAMBAGAN",3.40209568319365e-05,6.78952930498751e-06,0.000275595976298746,"H+0","regressor"
"barangaySAN ROQUE (CIUDAD)",2.66334024336699e-05,8.07501352006514e-06,0.000137797988149373,"H+0","regressor"
"barangayBONBON",2.16577900711765e-05,5.40144775819006e-06,0.000137797988149373,"H+0","regressor"
"barangayAGSUNGOT",1.20102925403088e-05,8.27417304634478e-06,0.000137797988149373,"H+0","regressor"
"barangayHIPPODROMO",6.08844538348589e-06,5.17814768327047e-06,0.000137797988149373,"H+0","regressor"
"barangayTINAGO",2.96469291823636e-06,1.629487033197e-07,0.000137797988149373,"H+0","regressor"
"pop_density",0.130987404212494,0.0494314683815351,0.0759405803137582,"H+1","regressor"
"city_env_u_component_of_wind_10m_mean_rollmean_lag1_w8",0.0815533254029001,0.029620875071369,0.0201305011800639,"H+1","regressor"
"city_env_rh_mean_rollmean_lag1_w8",0.0432970574494862,0.0331195005613762,0.0206858253505484,"H+1","regressor"
"percent_built_up",0.0394693947112712,0.0384274624891882,0.0236012772455921,"H+1","regressor"
"neighbor_env_u_component_of_wind_10m_mean_rollmean_lag1_w8",0.0328944794454158,0.0145809800654808,0.00735804525891989,"H+1","regressor"
"city_env_u_component_of_wind_10m_mean_rollmean_lag1_w4",0.0323915356438136,0.0199111756714823,0.0147160905178398,"H+1","regressor"
"city_env_rh_mean_lag20",0.0300550489563213,0.0238762137855621,0.0177703734555047,"H+1","regressor"
"city_env_rainfall_mean_rollmean_lag1_w8",0.0289191545139752,0.0239937941135462,0.023462446202971,"H+1","regressor"
"barangayPARDO (POB.)",0.0255569278085397,0.0323293303564171,0.0130501180063862,"H+1","regressor"
"city_env_v_component_of_wind_10m_mean_lag11",0.0237779931469035,0.0203835599020138,0.0131889490490074,"H+1","regressor"
"week_cos",0.0226832992253271,0.017591785627049,0.0172150492850201,"H+1","regressor"
"barangay_area_m2",0.0210488790450165,0.0248937755261671,0.0223517978620019,"H+1","regressor"
"city_env_rh_mean_lag19",0.0187306955628268,0.0233980750978974,0.013883104262113,"H+1","regressor"
"city_env_temp_c_mean_lag15",0.0177140465875297,0.0140554967928703,0.0123559627932806,"H+1","regressor"
"city_env_temp_c_mean_rollmean_lag1_w4",0.0171264384902391,0.00849558735982219,0.0145772594752187,"H+1","regressor"
"city_env_temp_c_mean_rollmean_lag1_w8",0.0167533113975296,0.0128794823956288,0.0154102457309454,"H+1","regressor"
"barangayBANILAD",0.0137650131485937,0.0298392911015494,0.00888518672775233,"H+1","regressor"
"city_env_temp_c_mean_lag14",0.0131681590877134,0.0140490486642798,0.0134666111342496,"H+1","regressor"
"flood_risk_index",0.0124703064301981,0.0262559170552308,0.0183256976259892,"H+1","regressor"
"week_sin",0.0123337619272356,0.0197058851116601,0.0151325836457032,"H+1","regressor"
"city_env_rh_mean_rollmean_lag1_w4",0.0123219893438927,0.0394471776272739,0.017076218242399,"H+1","regressor"
"neighbor_env_rainfall_mean_rollmean_lag1_w8",0.0117517535178707,0.00772064173537055,0.0116618075801749,"H+1","regressor"
"rh_rollmean_lag1_w8",0.0110302789373839,0.00799790523283731,0.0119394696654172,"H+1","regressor"
"neighbor_env_rh_mean_rollmean_lag1_w8",0.00966736616100114,0.00359885196770616,0.00680272108843537,"H+1","regressor"
"city_env_wind_speed_10m_mean_lag1",0.00958957190497611,0.0138188100596959,0.0137442732194919,"H+1","regressor"
"city_env_rainfall_mean_lag20",0.00937647251353755,0.019981574276515,0.0131889490490074,"H+1","regressor"
"city_env_wind_speed_10m_mean_rollmean_lag1_w4",0.00910680937302491,0.0114338288550256,0.00985700402610024,"H+1","regressor"
"neighbor_env_rh_mean_rollmean_lag1_w4",0.00785346372983147,0.0082267323668037,0.0122171317506594,"H+1","regressor"
